,BreedName,Group1,Group2,MaleWtKg,Temperment,AvgPupPrice,Intelligence,Watchdog
171,Affenpinscher,Toy,Companion,4.0,"Active, Adventurous, Curious, Fun-loving, Playful, Stubborn",1000.0,37.0,1.0
172,,,,,,,,
173,Swedish Vallhund,Herding,Herding,13.0,"Alert, Energetic, Fearless, Friendly, Watchful",800.0,,4.0
174,Sealyham Terrier,Terrier,Terrier,9.0,"Alert, Calm, Even-tempered, Fearless, Friendly, Intelligent",900.0,56.0,3.0
175,Bedlington Terrier,Terrier,Terrier,9.0,"Affectionate, Devoted, Energetic, Loyal, Playful, Reliable, Intelligent",1900.0,40.0,3.0
176,Entlebucher,Herding,Guardian,27.0,"Agile, Devoted, Independent, Loyal, Self-confident",,,6.0
177,Tibetan Mastiff,Working,Guardian,71.0,"Aloof, Protective, Strong-willed, Stubborn, Courageous, Loyal",3000.0,,6.0
178,,,,,,,,
179,,,,,,,,
180,Greyhound,Hound,Sight,33.0,"Intelligent, Gentle, Affectionate, Athletic, Even-tempered, Quiet",650.0,46.0,3.0
181,Kuvasz,Working,Guardian,49.0,"Clownish, Independent, Intelligent, Loyal, Patient, Protective",1350.0,42.0,6.0
182,Glen of Imaal Terrier,Terrier,Terrier,16.0,"Active, Agile, Courageous, Gentle, Loyal, Spirited",900.0,,3.0
183,Podengo Portugueso,Hound,Sight,5.0,"Active, Companionable, Friendly, Hardy, Lively, Loyal",900.0,,3.0
184,Petit Basset Griffon Vendeen,Hound,Scenthound,16.0,"Active, Extroverted, Friendly, Happy, Independent, Lively, Intelligent",1400.0,62.0,3.0
185,Sussex Spaniel,Sporting,Gun,19.0,"Calm, Cheerful, Companionable, Devoted, Friendly, Sociable",2500.0,,3.0
186,Pumi,Herding,Herding,13.0,"Active, Intelligent, Lively, Protective, Reserved, Vocal",2750.0,,3.0
187,Komondor,Working,Guardian,59.0,"Affectionate, Calm, Fearless, Gentle, Independent, Steady",1000.0,,6.0
188,Irish Water Spaniel,Sporting,Gun,25.0,"Active, Alert, Clownish, Inquisitive, Intelligent, Quick",900.0,24.0,4.0
189,Ibizan Hound,Hound,Sight,22.0,"Active, Clownish, Engaging, Independent, Intelligent, Stubborn",1000.0,53.0,3.0
190,Plott Hound,Hound,Scenthound,26.0,"Alert, Bold, Courageous, Loyal",400.0,,3.0
191,American Water Spaniel,Sporting,Gun,16.0,"Energetic, Friendly, Intelligent, Obedient, Protective, Trainable",900.0,44.0,4.0
192,Scottish Deerhound,Hound,Sight,42.0,"Dignified, Docile, Friendly, Gentle, Polite, Quiet",1100.0,47.0,1.0
193,Lowchen,Non Sporting,Companion,6.0,"Active, Familial, Friendly, Happy, Playful",400.0,,3.0
194,Norwegian Buhund,Herding,Northern,16.0,"Agile, Courageous, Energetic, Friendly, Fun-loving",900.0,,4.0
195,Curly-Coated Retriever,Sporting,Gun,34.0,"Clever, Independent, Intelligent, Lively, Sensitive, Trainable",700.0,41.0,3.0
196,Skye Terrier,Terrier,Terrier,17.0,"Loyal, Fearless, Friendly, Good-tempered, Intelligent",800.0,55.0,4.0
197,Finnish Lapphund,Herding,Northern,18.0,"Calm, Courageous, Faithful, Friendly, Keen",700.0,,5.0
198,Pharaoh Hound,Hound,Sight,23.0,"Active, Affectionate, Intelligent, Playful, Sociable, Trainable",1900.0,37.0,2.0
199,Canaan Dog,Herding,Sight,21.0,"Alert, Cautious, Devoted, Quick, Vigilant",1000.0,,3.0
200,Polish Lowland Sheepdog,Herding,Herding,19.0,"Agile, Even-tempered, Lively, Perceptive, Self-confident",1750.0,,6.0
201,Finnish Spitz,Non Sporting,Northern,15.0,"Happy, Independent, Intelligent, Loyal, Playful, Vocal",600.0,43.0,3.0
202,English Coonhound,Hound,Scenthound,26.0,"Active, Energetic, High-strung, Loyal",1100.0,,4.0
203,Chinook,Working,Northern,32.0,"Alert, Calm, Dignified, Friendly, Responsive",900.0,,4.0
204,,,,,,,,
205,,,,,,,,
206,Dandi Dinmont Terrier,Terrier,Terrier,10.0,"Affectionate, Companionable, Determined, Fun-loving, Independent, Lively, Intelligent",1500.0,62.0,3.0
207,Harrier,Hound,Scenthound,22.0,"Active, Cheerful, Friendly, Outgoing, Sweet-tempered, Tolerant",350.0,,2.0
